,ID,Area,City,Restaurant,Price,Avg ratings,Total ratings,Food type,Address,Delivery time
4764,397618,Central Bangalore,Bangalore,Biryani Trip,400,4.2,100,"['Biryani', 'Hyderabadi', 'Indian']",Central Bangalore,32
4765,397622,Central Bangalore,Bangalore,Paratha Envy,400,4.4,100,['North Indian'],Central Bangalore,48
4766,397630,Central Bangalore,Bangalore,Andhra Gunpowder,400,4.3,500,"['Andhra', 'Biryani']",Central Bangalore,33
4767,397634,Santoshpur,Kolkata,Hot And Fresh Foodies,250,2.9,80,"['Chinese', 'Biryani', 'Tandoor']",Santoshpur,95
4768,397812,Annanagar,Chennai,Mlr Restaurant,450,2.9,80,"['Indian', 'Biryani', 'Asian', 'Tandoor', 'Grill', 'Barbecue']",Annanagar,61
4769,397871,Kothapet & Dilsukhnagar,Hyderabad,Nalabheema Kitchen,250,3.9,100,['Chinese'],Kothapet & Dilsukhnagar,60
4770,397918,Piplod,Surat,Binayak Fast Food,200,4.5,50,['Fast Food'],Piplod,58
4771,397995,Rohini,Delhi,The Godfathers Cafe,350,2.9,80,"['Fast Food', 'Beverages']",Rohini,62
4772,398015,Swargate,Pune,Breaking Bread Pune - Mehta Foods,200,2.9,80,['Indian'],Swargate,48
4773,398095,Esplanade,Kolkata,Monginis,300,4.2,20,"['Desserts', 'Bakery']",Burrabazar,36
4774,398106,Ghatkopar Vikhroli,Mumbai,Momos Magic,200,2.9,80,['Fast Food  Snacks'],Byculla,48
4775,398128,Sinhgad Road,Pune,Food Signal,350,2.9,80,"['Indian', 'Chinese']",Sinhgad Road,82
4776,398141,Laldarwaja,Ahmedabad,Nishat Restaurant Tawa Fry,400,4.1,100,"['Mughlai', 'North Indian']",Laldarwaja,34
4777,398161,Central Kolkata,Kolkata,Hugo And Finn,400,2.9,80,['Desserts  Beverages'],Central Kolkata,54
4778,398230,Central Kolkata,Kolkata,Yo Chelo,300,3.9,20,"['Kebabs', 'Tandoor', 'Fast Food']",Central Kolkata,58
4779,398257,Alwarpet,Chennai,The Old Mirchi Biryani,700,4.3,500,"['Hyderabadi', 'Biryani', 'Indian', 'Tandoor', 'Chinese']",Alwarpet,60
4780,398386,Kothrud,Pune,Parth Veg Nonveg,300,2.9,80,"['Indian', 'Chinese']",Kothrud,65
4781,398426,Swargate,Pune,Hotel Vishwa,200,2.9,80,"['North Indian', 'Chinese', 'Tandoor', 'Jain']",Swargate,37
4782,398440,Santoshnagar & Saidabad,Hyderabad,Ssv Foods,180,2.9,80,['Snacks'],Santoshnagar & Saidabad,53
4783,398565,Navrangpura,Ahmedabad,Biryani Stock Exchange,400,3.0,20,"['North Indian', 'Biryani']",Navrangpura,46
4784,398574,Navrangpura,Ahmedabad,Bowlwrrap By Birmies,300,2.9,80,['Fast Food'],Navrangpura,37
4785,398591,Ameerpet,Hyderabad,Tiny Foods Homely Food Court,300,4.1,50,['Indian'],Ameerpet,76
4786,398652,Central Bangalore,Bangalore,Knight Bite,280,2.9,80,"['American', 'Continental', 'Beverages', 'Desserts']",Central Bangalore,51
4787,398723,Royapettah,Chennai,Ponnusamy Hotel Royapettah,400,4.2,100,"['South Indian', 'Biryani', 'North Indian', 'Chettinad']",Royapettah,50
4788,398829,Central Kolkata,Kolkata,Aalishan Restaurant & Caterer,200,2.9,80,"['Biryani', 'Indian', 'Desserts']",Central Kolkata,47
4789,398857,Charminar,Hyderabad,The Kunafa Station,300,3.9,100,['Desserts'],Charminar,39
4790,398873,Purasawalkam,Chennai,Tropical Fast Food,280,2.9,80,"['Chinese', 'Arabian', 'Indian', 'Tandoor']",Purasawalkam,40
4791,398875,Machuabazar,Kolkata,Couch Potato,200,4.1,50,"['Chinese', 'Tibetan']",Beadon Street,51
4792,398978,Burrabazar,Kolkata,Aadi Bangali Restaurant,300,2.9,80,"['Bengali', 'Fast Food', 'Combo', 'Thalis']",Burrabazar,43
4793,398986,Alipore,Kolkata,Kamini Snacks,300,2.9,80,['Snacks'],Alipore,95
4794,399026,Frazer Town,Bangalore,Donut Hubb,150,2.9,80,"['Desserts', 'Beverages']",Frazer Town,53
4795,399108,Swargate,Pune,Chitale Ice Cream,250,4.7,20,['Ice Cream'],Swargate,33
4796,399118,Basavanagudi,Bangalore,Nisarga Garden,200,4.1,100,"['North Indian', 'South Indian', 'Chaat', 'Beverages']",Basavanagudi,56
4797,399133,Indiranagar,Bangalore,S R Biriyani House,150,2.7,20,"['Biryani', 'Indian']",Indiranagar,53
4798,399153,Kankurgachi,Kolkata,Hunger Bite @99,500,2.9,80,['Fast Food'],Burrabazar,47
4799,399171,Paldi & Ambawadi,Ahmedabad,Banana Leaf,500,3.9,50,['South Indian'],Paldi & Ambawadi,45
4800,399189,Navrangpura,Ahmedabad,Kailash Omlet Center,300,2.9,80,['Indian'],Navrangpura,44
4801,399191,Malleshwaram,Bangalore,Five Star Chicken And Koli Hut,150,2.9,80,"['Fast Food', 'Snacks', 'Kebabs']",Malleshwaram,55
4802,399267,Himayath Nagar,Hyderabad,Swiss Castle,500,4.6,100,"['Bakery', 'Sweets', 'Desserts']",Himayath Nagar,28
4803,399277,Kurla,Mumbai,Maxim Restaurant - Kerala Special,300,4.2,100,['Chinese  Kerala'],Kurla,42
4804,399291,Lake Town,Kolkata,Domingos Pizza,250,2.9,80,['Pizzas  Italian-American'],Lake Town,82
4805,399428,Ruby Area,Kolkata,Mrs. Messy,250,2.9,80,"['Indian', 'Chinese']",Ruby Area,70
4806,399450,Nsp,Delhi,Village Pizza,200,2.9,80,['Pizzas'],Nsp,51
4807,399514,Chembur,Mumbai,Yogi'S Kitchen,1000,4.5,20,"['Indian', 'Chinese', 'Tandoor']",Chembur,52
4808,399591,Salt Lake,Kolkata,Caravan Cafe,500,4.4,500,"['Continental', 'Italian', 'American']",Salt Lake,68
4809,399608,Rohini,Delhi,Parashar Foods,350,3.7,20,"['Indian', 'Tandoor', 'Snacks', 'Sweets', 'North Indian']",Rohini,34
4810,399611,Kachiguda,Hyderabad,Hotel Woodside (Veg),200,4.5,100,['South Indian  North Indian  Chinese'],Himayath Nagar,30
4811,399764,Vishrantwadi,Pune,Magic Bites,300,2.9,80,"['Indian', 'Snacks', 'Fast Food', 'Chinese', 'Continental']",Vishrantwadi,65
4812,399798,Central Kolkata,Kolkata,Ebites@99,200,4.4,50,"['Chinese', 'Indian', 'North Indian', 'Salads', 'Beverages', 'Desserts']",Central Kolkata,47
4813,399836,Koregaon Park,Pune,Hotel Shabnam,300,3.8,20,['Indian'],Koregaon Park,61
4814,399838,Indiranagar,Bangalore,Say Cheese! Pizza,400,3.4,20,"['Pizzas', 'Italian', 'Desserts', 'Pastas']",Indiranagar,54
4815,399842,Indiranagar,Bangalore,Burgerhaus Gourmet Burgers,600,3.9,100,"['American', 'Continental', 'Beverages', 'Desserts']",Indiranagar,58
4816,399904,Sion Koliwada,Mumbai,Hardeep Punjab,600,4.3,1000,['Indian  Chinese'],Matunga Wadala,57
4817,399912,Indiranagar,Bangalore,Wicked Brownies,350,2.9,80,"['Ice Cream', 'Desserts', 'Beverages']",Indiranagar,57
4818,400113,Frazer Town,Bangalore,Ymia Naidu Caterers,300,2.9,80,"['South Indian', 'Biryani', 'Chinese', 'Indian']",Frazer Town,55
4819,400160,Lower Parel Worli,Mumbai,Tandoori Pizza,500,2.9,80,['Pizzas  Kebabs  North Indian  Fast Food  Desserts'],Sv Road,61
4820,400188,Central Bangalore,Bangalore,Snack House,300,4.2,50,"['Fast Food', 'Street Food']",Central Bangalore,40
4821,400250,Scruz Bandra East,Mumbai,Al Zaiqa,200,2.9,80,['Indian  Chinese  Kebabs  Fast Food  Combo'],Scruz Bandra East,51
4822,400308,Vastral,Ahmedabad,Bombay Pavbhaji,200,2.9,80,"['Snacks', 'Fast Food']",Vastral,51
4823,400394,Varachha,Surat,Jk'S Food Corner,200,2.9,80,"['Chinese', 'Pizzas']",Amroli,71
4824,400426,Salt Lake,Kolkata,Shanghai Social,400,4.2,1000,['Chinese  Asian'],Salt Lake,62
4825,400427,Tarnaka  Nacharam & Malkajigiri,Hyderabad,Cupcake Bliss Cake & Desserts,200,4.0,20,['Bakery  Desserts  Ice Cream'],Tarnaka  Nacharam & Malkajigiri,72
4826,400443,Kondhwa,Pune,Shudha Amruttulya,200,4.1,20,"['North Indian', 'Maharashtrian', 'Beverages']",Kondhwa,80
4827,400493,Powai,Mumbai,Black Rose Falooda And Icecreams,150,2.9,80,"['Ice Cream', 'Desserts']",Powai,51
4828,400503,Kothrud,Pune,Golden Dragon Chinese & Momo,300,2.0,20,['Chinese'],Kothrud,68
4829,400663,Khar West,Mumbai,Ohh My Fudge,100,2.9,80,['Desserts  Ice Cream'],Near Kharghymkhana,68
4830,400668,Vastral,Ahmedabad,Amdavadi Rasoi,200,2.9,80,"['Indian', 'Chinese']",Vastral,74
4831,400765,Kothapet & Dilsukhnagar,Hyderabad,Monster Burger,200,3.2,20,"['Chinese', 'South Indian', 'Snacks', 'Combo', 'Beverages', 'Desserts']",Kothapet & Dilsukhnagar,75
4832,400801,Kothrud,Pune,Siily Chilly,250,3.3,20,['Chinese'],Kothrud,52
4833,400823,Rohini,Delhi,Pao Ji Aamchi Mumbai Se,150,3.1,50,"['Indian', 'Snacks', 'Street Food', 'Fast Food']",Rohini,35
4834,400849,Lake Town,Kolkata,Sandwizz,199,2.9,80,['Fast Food'],Lake Town,98
4835,400882,Banjara Hills,Hyderabad,The Clay Pot,300,2.9,80,['North Indian'],Banjara Hills,74
